iteration, destination,2->6,0->1,0->9,0->8,0->5,0->4,3->7,3->1,7->3,7->1,1->0,1->3,1->7,1->4,6->2,6->8,6->5,9->0,9->8,9->5,9->4,8->0,8->6,8->9,8->5,8->4,5->0,5->6,5->9,5->8,5->4,4->0,4->1,4->9,4->8,4->5,
66,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.901612513231356,1.0,1.0,1.0,1.0,16936.11900648737,1.0,1.0,
67,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.376215002140496E8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.901612513231356,1.0,1.0,1.0,1.0,16936.11900648737,1.0,1.0,
68,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.376215002140496E8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.901612513231356,1.0,1.0,1.0,1.0,16936.11900648737,1.0,1.0,
69,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.376215002140496E8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.901612513231356,1.0,1.0,1.0,1.0,16936.11900648737,1.0,1.0,
70,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.901612513231356,1.0,1.0,1.0,1.0,16936.11900648737,1.0,1.0,
71,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.28495024385782,1.0,1.0,
72,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.28495024385782,1.0,1.0,
73,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70064.92321624086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70064.92321624086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2581567.817847356,1.0,1.0,
74,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70064.92321624086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70064.92321624086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2581567.817847356,1.0,1.0,
75,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70064.92321624086,1.0,1.0,1.0,1.0,1.0,77.52254904671696,1.0,1.0,1.0,1.0,1.0,77.52254904671696,1.0,1.0,1.0,70064.92321624086,1.0,1.0,77.52254904671696,1.0,1.0,1.0,1.0,2581567.817847356,1.0,77.52254904671696,
76,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,361.0988641746495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,361.0988641746495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13304.820215637215,1.0,1.0,
77,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,361.0988641746495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,361.0988641746495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5764635755161815E9,1.0,1.0,
78,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,361.0988641746495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8224981.093304879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.707131299014162E12,1.0,1.0,
79,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,361.0988641746495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8224981.093304879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.707131299014162E12,1.0,1.0,
80,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,361.0988641746495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8224981.093304879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.707131299014162E12,1.0,1.0,
81,9,1.0,1.0,1.0,1.0,1.0,70064.92321624086,1.0,1.0,1.0,1.8610223735747577,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42389.70363935144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.261231895212708E13,1.0,1.0,
